ID,Tenure in Nuvemshop in months,Monthly Sales,Employee Count,Current plan id,Estimated Page Views,Rank - Domain,Product Count - Domain,Estimated Sales - Domain,Combined Followers,Number of technologies,Avg Total Users,Avg - Total Visits,Avg - Average Bounce Rate,Avg - Average Time On Site,Avg - Average Pages Per Visit,Avg - real visits,Followers,Posts,Semrush Rank,Organic Keywords,Organic Traffic,Adwords Keywords,Adwords Traffic,PLA keywords,Average ticket value
533,20.63484132,"144,896.39",1,29,101377,366681,32370,"221,193.28",1550,11,63507,79184,0.5,183,4,36731,6515,1258,7633,17348,75927,10,1095,0,139.88
534,8.680748955,"59,728.30",,55,107,6214371,,"1,074.56",,2,1,1,0,0,2,,101921,1963,662077,65,90,0,0,0,540.76
535,21.17482116,"124,866.34",177,55,86,13163449,17,859.65,,2,355,1420,0.5,117,3,710,,,,,,,,,1158.39
536,20.85572581,"70,037.17",,55,3770,931497,46,"17,629.64",,6,694,1201,0.4,199,2,468,64391,1947,141047,460,1551,8,514,0,417.36
537,21.58960835,"56,185.54",,55,2973,2188717,259,"14,829.05",107,7,336,401,0.5,155,10,200,175153,2805,158565,210,1293,0,0,0,184.23
538,18.86150799,"87,928.60",,56,10256,613355,251,"35,165.26",,7,11552,15109,0.4,172,4,5562,84493,3187,61619,2100,5112,4,1112,3,135.76
539,21.82367159,"95,746.99",,55,13768,2815681,3,"42,915.59",676,7,562,562,1,0,1,562,,,,,,,,,403.29
540,21.04781959,"66,332.63",,55,1486,3595751,48,"9,268.15",,6,298,298,1,0,1,298,121460,345,426828,196,226,0,0,0,822.66
541,16.70652218,"62,102.33",,55,,10066131,,50,,2,1,82,0,11,11,,75022,882,843239,61,47,0,0,0,204.99
542,21.79595803,"106,295.11",,56,4266,1277609,1,"18,616.90",,8,1573,3473,0.1,256,11,423,64748,1592,108237,218,2314,3,99,3,257.63
543,22.66704488,"102,858.68",,56,48738,548711,59,"106,342.02",,7,85886,125619,0.6,658,6,71464,56253,99,21618,3122,20634,5,24,10,197.63
544,21.78344683,"88,469.93",,56,15405,2112624,27,"48,019.79",,8,881029,1557615,0.4,161,4,693606,,,45012,951,7751,31,3910,6,71.19
545,22.28557422,"64,847.94",,55,237,5903597,29,"2,364.05",,4,1,1,0,257,2,,,,994265,88,29,0,0,0,171.56
546,21.82034013,"84,982.31",,55,1314,3648167,118,"8,193.58",439,7,940,940,0,944,6,1,54429,642,185305,150,1009,11,368,0,506.67
547,14.71617085,"67,740.89",,56,1659,3449667,47,"10,342.72",,6,5195,38578,0.6,36,3,24132,242464,337,232289,190,690,0,0,0,426.88
548,22.15205682,"86,629.38",,56,15018,776817,31,"46,810.90",,6,750,750,0.7,27,3,501,25285,1687,32519,229,11997,0,0,0,302.57
549,21.78117234,"106,639.69",,56,32600,2243748,4,"91,452.52",,6,14558,36853,0.3,138,5,10053,52681,136,29185,621,13885,0,0,0,391.08
550,21.80428875,"125,731.16",,55,12497,2461335,182,"42,848.43",,9,,,,,,,73960,177,,,,,,,241.11
551,21.75616637,"90,291.14",,56,5085,2857702,12,"20,604.85",,8,13821,18799,0.6,101,2,12062,41067,37,159010,339,1287,10,1097,0,241.83
552,21.00991861,"52,126.04",,55,1098,4126726,42,"6,850.37",,2,13496,13496,0,2,2,,175712,7648,310534,251,412,0,0,0,167
553,22.20755488,"65,166.68",,55,258,5290745,,"2,578.96",25,6,,,,,,,,,364363,120,308,0,0,0,154.09
554,21.82768817,"90,904.48",,56,2262,3123066,43,"14,103.71",,6,210,230,0,141,5,,,,174158,520,1111,0,0,0,152.32
555,22.80847148,"80,429.34",,55,43,8863666,27,500,,6,5197,5396,0.8,316,2,4586,40624,613,807360,146,53,0,0,0,312.28
556,21.30630675,"58,238.23",,56,301,4821288,4,"3,008.79",22,6,,,,,,,42200,681,6367851,1,0,0,0,0,239.58
557,21.27071685,"50,725.32",,55,517,4150227,17,"5,157.93",,6,19,57,0.7,41,2,38,46936,1437,227675,106,715,0,0,0,680.57
558,23.30033901,"86,222.74",,55,23335,2354423,29,"65,461.39",,8,1190,1190,0.5,89,5,595,45589,2161,61021,1233,5184,0,0,0,606.66
559,23.29893631,"63,699.76",,56,3490,2817498,4,"16,320.01",,6,32687,379247,0.6,381,3,211140,,,181678,3386,1041,0,0,0,334.22
560,14.44130339,"67,015.78",,55,129,6420980,,"1,289.48",,8,12694,20196,0.8,776,1,16739,,,1075575,47,23,0,0,0,174.25
561,23.33500821,"83,908.38",,55,32384,2308545,41,"90,848.08",63800,2,13388,22863,0.1,263,5,3410,584716,459,26919,960,15472,0,0,0,157.18
562,22.08060372,"106,001.96",,56,13919,685884,1,"43,385.71",319,6,25087,69088,0.7,168,2,49840,8199,1054,35246,8821,10789,9,264,15,128.18
563,23.38021393,"63,229.26",,55,1486,2979626,133,"9,268.15",,9,459,883,0.2,1240,12,194,23996,445,500646,654,165,0,0,0,224.38
564,23.1429611,"65,833.74",,55,4180,2541564,116,"18,240.80",,3,848,848,0.5,17,2,424,311852,10716,118281,204,2024,0,0,0,144.07
565,23.91723156,"93,292.97",,55,948,3616359,5,"5,910.12",,6,522,530,0.8,272,2,442,7232,56,304671,333,427,0,0,0,1793.32
566,22.94340614,"130,496.72",,56,8080,981951,376,"30,222.24",192,7,5125,9514,0.5,111,5,4642,,,151444,817,1387,93,3639,3,1305.68
567,23.09655802,"52,281.75",,55,1400,3204712,227,"8,730.87",,6,,,,,,,42333,1487,444059,163,210,1,27,0,259.35
568,23.11456952,"93,449.73",,56,,,,,,,27177,30406,0.5,336,5,16692,,,13741,1077,36736,0,0,0,255.09
569,23.85220915,"144,933.85",,55,,,,,,,,,,,,,,,1144129,35,19,0,0,0,1145.06
570,21.04444332,"97,140.18",,55,3469,2931726,162,"16,219.27",,9,538,778,0.5,3,3,389,89277,855,163848,639,1226,0,0,0,1093.79
571,19.74794019,"66,126.19",,55,4158,3104494,243,"18,146.78",,4,1507,2565,0.3,240,5,761,143928,365,146948,1242,1455,0,0,0,118.2
572,21.86725993,"50,615.59",,55,904,4612610,144,"5,641.48",,6,299,299,0,80,6,,52595,2629,299873,121,440,0,0,0,267.94
573,21.76377352,"86,362.84",,10,3016,1363856,1078,"15,043.96",,5,,,,,,,346816,6341,,,,,,,317.39
574,22.06143257,"77,973.02",,55,323,4591492,34,"3,223.70",,6,,,,,,,33575,2229,415974,189,238,0,0,0,561.78
575,23.58562649,"51,906.73",,56,689,5080457,376,"4,298.27",469,2,579,1704,0.2,430,5,341,138800,1177,313004,507,406,0,0,0,1000.68
576,24.45679473,"77,558.86",,55,43,9024303,3,500,,7,5190,5378,0.7,17,1,3585,66428,548,829841,271,49,1,4,1,265.81
577,18.15366525,"126,880.01",,26,25554,493315,386,"71,687.17",2190,8,20787,36727,0.7,135,4,23902,50621,1333,26178,4487,16085,6,475,0,167.62
578,18,"58,067.40",,29,3124,1334507,127,"14,607.42",,8,817,817,0.1,79,7,101,309842,1648,141937,441,1536,1,21,0,378.63
579,23.42172416,"76,375.83",,56,667,3004406,316,"4,163.95",,7,479,808,0.5,8,8,404,,,371535,160,296,0,0,0,863.36
580,24.53797827,"50,009.37",,56,4115,1156397,29,"17,958.73",,8,14617,15175,0.3,201,4,5245,30899,1174,80832,849,3523,0,0,0,296.01
581,23.77945901,"61,211.78",,55,926,4007910,17,"5,775.80",,7,183,366,0,143,9,,67029,1166,317370,263,397,0,0,0,249.54
582,23.2111477,"131,144.01",,55,7304,1112224,16,"27,320.91",,2,1160,1161,0.3,42,3,315,,,62312,1048,5032,0,0,0,506.37
583,20.4275,"102,287.90",,55,1702,3182873,5,"10,611.36",,3,355,710,0,889,20,,,,687242,103,82,0,0,0,261.47
584,23.81086171,"68,167.87",,55,1874,3233571,159,"11,685.93",111400,6,720,720,0.4,55,3,261,65905,1960,222487,280,742,0,0,0,193.62
585,24.85386686,"113,663.91",,55,3102,2870945,484,"15,473.79",20000,9,,,,,,,395745,9663,,,,,,,237.92
586,24.31765644,"85,788.20",,56,64,6245585,14,644.74,,2,355,355,0,35,4,,,,756197,352,64,0,0,0,348.81
587,21.84673499,"53,969.11",,55,3598,1050279,56,"16,823.71",,7,,,,,,,206230,236,,,,,,,187.34
588,24.28029869,"112,728.80",,55,21,8943846,15,500,,2,224,224,0.7,2,3,149,18507,482,2208745,37,1,0,0,0,519.78
589,24.11155839,"63,776.87",,55,,,,,,,,,,,,,,,,,,,,,684.94
590,22.788579,"59,026.49",,56,46088,677267,105,"100,559.49",358,11,,,,,,,149143,1966,,,,,,,354.38
591,25.01083856,"69,681.53",,55,,,,,,,,,,,,,,,,,,,,,312.55
592,25.04614807,"119,671.32",,55,517,4660538,34,"5,157.93",3280,8,420,580,0.3,89,10,193,117416,6200,305494,145,425,0,0,0,683.26
593,23.888778,"54,428.73",,55,5063,1086362,4,"22,095.82",,7,2945,3393,0.2,490,8,541,512363,1238,96491,208,2737,0,0,0,170.48
594,24.58701389,"71,626.35",,55,,,,,,,,,,,,,,,5752013,2,0,0,0,0,358.91
595,24.51339344,"82,529.49",,55,35250,2350066,42,"98,887.20",1104,2,,,,,,,336993,833,,,,,,,379.5
596,13.52391689,"66,607.34",,56,2413,3021238,556,"15,043.96",,7,1147,1515,0.7,211,3,1013,,,181470,1219,1043,1,6,0,111.56
597,24.28043608,"62,150.94",,55,5063,3179284,48,"22,095.82",,2,658,658,1,1,1,658,,,231438,77,695,0,0,0,276.63
598,25.33686791,"54,240.29",,56,2176,1553950,148,"13,566.43",,6,9234,34307,0.6,139,3,19934,,,218312,965,767,56,3067,2,569.82
599,24.50755936,"121,706.81",,29,3490,1121479,175,"16,320.01",1200,6,2960,5737,0.6,336,2,3449,6271,156,138654,528,1592,9,690,5,222.53
600,24.59069407,"120,085.21",,55,2628,2943982,29,"13,109.74",,2,5652,5780,0.3,256,12,1672,60189,881,262502,686,557,0,0,0,294.21
601,24.64164725,"72,978.73",,55,2046,3364436,5,"12,760.50",,6,1271,2027,0.6,104,4,1126,70025,647,196036,133,918,0,0,0,309.92
602,24.34407295,"65,414.84",,33,3641,1619073,17,"17,025.20",,5,,,,,,,7539,381,,,,,,,233.44
603,24.58058841,"118,274.81",,56,43,6734741,4,500,,9,387,388,0.7,7,2,259,41330,47,774863,121,60,0,0,0,213.92
604,25.7291353,"64,491.75",,56,,13194567,3,50,,6,10787,23880,0.5,354,4,11713,18426,31,,,,,,,307.78
605,22.2786884,"68,714.32",,56,1292,4186465,221,"8,059.26",,8,341,391,0.2,522,12,87,55755,2720,245141,136,627,0,0,0,221.15
606,25.12720729,"74,285.97",,56,1788,1394850,14,"11,148.65",5249,6,480,480,0,3,3,,44341,229,166311,84,1197,0,0,0,768.65
607,24.69631982,"64,479.74",,56,12281,953520,412,"42,109.66",,6,2218,2821,0.5,418,4,1365,50714,3644,87315,2156,3151,0,0,0,265.68
608,25.13805966,"128,074.70",,56,21697,1413133,35,"60,867.61",,8,62837,86157,0.3,129,5,28331,45917,263,35058,650,10866,0,0,0,226.08
609,19,"60,427.53",,56,1422,3187049,45,"8,865.19",,2,1423,2022,0.2,384,10,380,54957,691,275120,1965,512,0,0,0,281.19
610,24.95793757,"59,885.92",,56,646,4577523,16,"4,029.63",,6,299,299,1,0,1,299,66833,1012,1157905,58,18,0,0,0,394.04
611,24.76414576,"95,248.22",,16,4934,11752006,201,"21,531.67",,8,475,178,0,6,2,,42287,389,,,,,,,465.06
612,25.24401508,"79,010.07",,56,8618,3271713,56,"32,237.06",,8,426,427,1,1,1,425,127776,1845,77802,85,3714,0,0,0,237.73
613,24.04864098,"79,302.13",,56,4481,920008,2030,"19,557.15",,2,5488,6303,0.9,696,2,5645,272307,6867,125345,2394,1857,0,0,0,256.79
614,26.66083819,"141,926.41",,56,86,6353587,4,859.65,1,6,300,304,0.2,32,3,51,70836,5259,1089741,34,22,0,0,0,415.52
615,25.84954973,"50,135.34",,56,6226,3169380,4,"25,232.22",,7,1270,1849,0.3,459,3,530,128577,315,106374,215,2373,29,2245,24,1162.29
616,25.9250672,"76,207.24",,56,1465,3792635,229,"9,133.83",,7,3,3,1,0,1,3,27836,270,217560,155,772,0,0,0,239.41
617,25.95502165,"83,997.33",,56,88212,2186013,146,"192,468.71",49,10,6144,21940,0.4,88,3,8447,5885,359,12934,11508,39601,0,0,0,637
618,12.51769415,"57,539.27",,55,64,9270946,,644.74,,6,119,120,0.1,657,7,13,,,2797481,17,0,0,0,0,293.59
619,26.00406922,"51,102.06",,56,2197,3439052,15,"13,700.75",103,6,3507,6015,0.3,160,5,1897,27969,73,269056,144,533,0,0,0,324.91
620,25.74991786,"80,398.26",,56,21,9922121,,500,,1,579,876,0,988,4,,7127,81,1033901,95,26,0,0,0,362.2
621,26.40124664,"79,899.03",,56,5257,2800067,212,"21,303.32",,7,667,667,0.5,88,7,351,10039,1740,136675,1321,1627,0,0,1,933.79
622,27.10663568,"114,251.19",,29,9351,2752782,38,"32,062.44",,6,1183,2019,0.9,1,1,1773,56080,797,59091,1160,5411,1,41,4,147.89
623,26.00718713,"84,154.74",,56,,,,,,,,,,,,,,,,,,,,,162.78
624,26.37002203,"110,317.35",,56,13639,1464947,33,"42,512.63",19300,2,17008,21857,0.4,193,5,9743,144145,422,32416,985,12055,0,0,0,171.83
625,25.24516241,"132,379.06",,14,1960,1178100,137,"12,223.22",,2,355,355,0,48,4,,,,349423,53,332,0,0,0,958.42
626,26.61188956,"133,044.90",,56,5537,2978873,11,"22,438.34",,3,658,4606,0.6,3,3,2632,24790,606,267073,169,540,0,0,0,356.42
627,26.83644004,"57,210.35",,56,11850,2267716,180,"40,632.13",,2,1358,1518,0.2,72,7,312,215557,376,39312,2030,9324,0,0,0,244.43
628,26.40162336,"80,412.18",,56,43,9111468,,500,,5,,,,,,,,,656709,65,91,0,0,0,204.41
629,26.6604204,"83,816.94",,56,2305,3087929,260,"14,372.35",,4,299,598,0.5,692,2,299,,,190078,127,968,0,0,0,198.58
630,26.85428913,"74,008.35",,56,926,3772677,45,"5,775.80",,3,,,,,,,14766,254,619649,280,104,0,0,0,665.43
631,27.79076389,"53,184.20",,56,1594,3273776,5,"9,939.76",3147,6,554,1408,0.5,202,2,738,24074,213,352823,228,326,0,0,0,205.64
632,26.58310297,"95,069.56",,56,301,5708750,102,"3,008.79",,8,1,1,1,0,1,1,28775,3405,461472,80,194,0,0,0,269.65
633,27.27106145,"69,150.15",,56,,,,,,,,,,,,,,,,,,,,,2218.36
634,26.72622984,"77,572.69",,56,3253,3107839,217,"15,211.86",4334,10,1012,1013,0.2,137,8,169,,,179858,1588,1058,0,0,0,728.71
635,26.7541032,"73,388.13",,56,560,13033120,111,"3,492.34",,9,2195,2196,0.5,209,4,1125,8349,431,,,,,,,725.79
636,27.10091398,"75,016.33",,56,1831,1662854,41,"11,417.29",,3,1033,1418,0.7,20,2,1014,30076,293,246617,454,620,24,2227,6,237.12
637,27.19269527,"139,597.86",,56,16720,760127,4,"52,116.59",,10,6125,6837,0.3,173,4,1879,75486,1110,44250,921,7937,2,7,1,156.98
638,27.2149425,"71,584.75",,56,,8216096,,50,,9,,,,,,,42449,445,1984915,53,2,0,0,0,614.21
639,17.7064994,"56,644.96",,56,,,,,,,,,,,,,,,,,,,,,191.5
640,25.52476068,"77,693.69",,56,33483,545763,34,"93,930.75",177,10,24806,34315,0.6,118,2,21620,17684,2308,27257,7697,15226,4,85,16,102.29
641,25.52229017,"91,471.28",,56,1120,3736482,195,"6,984.69",,8,2,4,0,816,22,,140069,847,234265,426,679,6,57,0,193.28
642,25.26834491,"146,495.00",,56,,,,,,,,,,,,,,,,,,,,,140.35
643,27.68319108,"65,676.44",,56,1702,1797630,360,"10,611.36",,6,507,1165,0.2,27,7,194,61886,325,206736,409,841,0,0,0,388.38
644,27.87050926,"92,567.39",,56,1206,3412635,15,"7,521.98",,6,,,,,,,22811,1301,356497,87,321,0,0,0,235.52
645,23.43262657,"58,742.45",,56,39301,377032,2885,"85,750.59",6880,11,,,,,,,44235,3130,,,,,,,545.94
646,26.31277255,"75,861.06",,56,11096,494310,739,"38,046.45",6110,10,19335,26190,0.6,143,3,15270,21328,442,61476,2903,5130,3,86,8,251.15
647,27.58891241,"129,372.31",,56,,,,,,,,,,,,,,,2445474,2,1,0,0,0,810.42
648,27.75031735,"51,630.53",,56,2262,3830404,137,"14,103.71",,2,776,1126,0.4,790,7,396,,,235837,90,671,0,0,0,673.81
649,28.4588971,"101,674.72",,56,495,2147788,158,"4,943.01",,2,410,661,0.6,34,3,404,48403,144,377549,136,287,0,0,0,400.39
650,28.58812985,"67,914.35",,56,237,4885635,224,"2,364.05",,3,477,477,0.7,7,7,318,,,572690,385,123,0,0,0,586.66
651,25.24490629,"126,285.45",,29,8791,2597065,277,"32,881.80",,7,1534,1534,0.5,8,2,759,5212,293,97882,1070,2680,21,473,37,545
652,27.5193246,"98,733.56",,56,76145,742594,127,"166,141.78",41,9,29117,51633,0.7,451,2,38102,44560,908,14120,6472,35540,38,4544,8,817.97
653,24.38824261,"64,913.86",,56,237,5762137,53,"2,364.05",,8,595,4760,0.5,413,2,2380,381107,14139,422570,67,231,0,0,0,337.01
654,26.72963448,"103,257.59",,56,73862,1956500,203,"161,158.46",72973,8,23704,43883,0.2,153,6,9430,678763,3504,10759,2594,50240,28,863,19,250.85
655,27.78480137,"112,305.85",,56,4093,993919,2301,"17,864.70",356,9,13207,13743,0.5,143,2,7495,32966,1230,144880,3044,1489,32,3191,10,916.05
656,27.05160208,"108,916.38",,56,7562,2793122,32,"28,288.02",57,8,502,620,0.3,18,2,184,10762,99,80630,2143,3535,0,0,0,3004.35
657,28.0179204,"86,125.28",,56,,,,,,,,,,,,,,,,,,,,,393.87
658,23.42175739,"121,133.55",,56,150,6172065,41,"1,504.39",,2,425,618,0.2,460,6,105,70777,2375,565382,105,127,0,0,0,522.26
659,27.04196759,"136,939.55",,8,33268,516949,438,"93,326.30",,9,17445,18011,0.4,330,6,7080,63269,110,26767,4387,15603,22,1516,67,1419.46
660,28.01705197,"77,057.11",,56,202258,158409,1,"252,174.45",118,11,26800,40802,0.3,335,5,11180,38769,2419,8666,9467,65414,14,1579,5,620.86
661,28.71770124,"123,793.81",,56,112839,351802,1140,"140,687.93",39813,10,33537,42536,0.7,179,2,31753,8195,838,9737,12102,56772,12,172,9,1911.9
662,26.54860812,"107,805.47",,55,,,,,,,,,,,,,,,,,,,,,177.36
663,29.11223417,"129,057.73",,56,2456,3007509,10,"15,312.60",,6,1687,1971,0.7,32,2,1349,,,216283,234,780,13,608,0,437.59
664,28.52048835,"84,375.77",,56,409,5234108,177,"4,083.36",133900,11,5513,5731,0.8,22,1,4653,124180,1021,294411,321,455,133,24350,0,277.17
665,29.13070154,"117,787.84",,56,,,,,,,,,,,,,,,,,,,,,277.93
666,28.94738911,"68,227.42",,56,10407,3219022,27,"35,682.40",24,7,778,1498,0.9,1,2,1348,25899,227,45663,861,7602,0,0,0,178.82
667,28.57004928,"61,830.95",,56,818,4589845,35,"5,104.20",,9,282,282,0.8,2,2,212,58369,1292,269928,75,530,0,0,0,253.27
668,29.10458781,"53,214.15",,56,4287,2848625,127,"18,710.93",,8,4153,15406,0.6,69,2,8970,32625,241,94026,401,2842,0,0,0,109.43
669,27.8223529,"83,153.73",,56,21568,2372813,252,"60,504.94",762,12,5599,5599,0.8,39,2,4330,522800,890,45906,2728,7548,4,98,1,162.15
670,29.59500299,"70,256.95",,56,43,9310589,47,500,,8,,,,,,,15754,414,1504850,59,7,0,0,0,84.23
671,20.23910992,"76,723.00",,56,,,,,,,,,,,,,,,661996,76,90,0,0,0,183.19
672,29.16748955,"55,232.60",,56,,,,,,,,,,,,,,,,,,,,,265.19
673,30.31173835,"65,676.31",,56,4632,2896645,635,"20,215.32",13100,9,4162,4322,0.7,2,3,2884,61467,1086,117482,1592,2044,0,0,0,152.12
674,,"58,740.54",,6,2176,11741077,263,"13,566.43",12116,11,595,595,0.3,22,3,198,31742,467,8935575,1,0,0,0,0,280.33
675,29.14434774,"83,346.97",,56,150,5899998,47,"1,504.39",,1,150,1346,0.8,335,6,1047,75869,1055,868514,68,43,0,0,0,801.03
676,30.48994101,"59,263.68",,56,711,4004159,207,"4,432.59",,3,,,,,,,,,452650,123,202,0,0,0,259
677,30.10887022,"73,358.24",,56,323,5812239,5,"3,223.70",28,10,385,496,0.3,26,3,166,24267,391,483243,45,177,4,818,0,399.98
678,29.55975358,"51,930.22",,56,1077,4505352,57,"6,716.05",2067,8,479,4098,0.7,2,2,2732,18771,362,180015,118,1057,2,6,0,176.69
679,29.79626045,"81,805.63",,56,991,2470759,200,"6,178.77",,6,440,1258,0.6,87,4,797,58272,628,314505,196,403,0,0,0,236.42
680,29.69727935,"96,439.68",,56,8704,1037264,176,"32,559.43",,9,31973,38987,0.7,265,3,27672,6571,180,58191,1580,5519,1,0,10,1215.33
681,29.67606818,"79,320.54",,56,2779,3274322,198,"13,861.93",,3,377,3187,0.4,835,28,1304,,,223755,248,735,0,0,0,462.98
682,30.58614322,"73,792.15",,56,12583,2329027,178,"43,143.94",,9,266,266,0,33,3,,126282,1339,4311470,3,0,0,0,0,361.73
683,29.73675105,"145,799.11",,56,1917,1661483,28,"11,954.57",,8,43786,59262,0.5,308,4,27101,1338,29,200462,1025,885,44,3917,22,519.35
684,29.30533938,"74,415.73",,56,904,2312816,245,"5,641.48",,9,4098,5195,0.5,23,2,2597,38893,877,300928,218,437,21,2670,0,153.69
685,30.37352785,"106,801.09",,56,6140,2821462,122,"24,882.98",,2,5117,6833,0.3,225,5,1993,,,108287,495,2312,0,0,0,314.8
686,30.42530429,"56,370.78",,56,4804,2590142,138,"20,967.52",,7,13976,13976,1,0,1,13976,26369,1144,108399,406,2308,3,12,0,248.56
687,26.43357191,"87,473.52",,29,2434,1630067,108,"15,178.28",,8,219,219,0.3,324,3,73,119343,2431,131196,221,1731,6,257,0,1012.66
688,28.65738202,"67,265.38",,56,4955,2881229,40,"21,625.69",,9,,,,,,,251238,1712,,,,,,,324.78
689,16,"63,172.71",,55,1206,3506842,17,"7,521.98",,11,6563,11409,0.5,68,5,5788,70922,1403,262008,470,559,0,0,0,516.81
690,30.17057124,"61,726.85",,56,,,,,,,,,,,,,,,,,,,,,1020.77
691,29.893977,"143,493.45",,56,12734,926089,36,"43,661.07",,4,386,585,0.3,252,3,195,,,74333,494,3963,0,0,0,998.07
692,31.19706541,"55,897.31",,56,1723,2969840,16,"10,745.68",20,9,,,,,,,29478,183,,,,,,,522.74
693,30.62249552,"57,267.81",,56,4201,1227735,30,"18,334.83",,9,2988,3468,0.3,3,3,1116,73314,1221,146767,346,1458,0,0,0,159.99
694,30.38470019,"95,908.23",,56,3016,1322283,14,"15,043.96",,4,598,598,0,263,26,,61717,706,193897,303,935,0,0,0,138.3
695,28.55455869,"121,445.26",,56,409,5619550,40,"4,083.36",,4,336,431,1,1,1,431,85504,3651,441047,101,213,0,0,0,166.6
696,30.92216659,"137,979.04",,56,15211,663446,108,"47,415.35",,7,1013,2191,0.8,74,2,1752,631364,5959,59596,1286,5352,0,0,0,304.39
697,31.0754092,"71,080.39",,56,1206,3118503,292,"7,521.98",,8,241,241,0,14,4,,140249,5783,272274,107,522,0,0,0,239.42
698,30.75133513,"54,859.08",,56,4417,863086,497,"19,275.07",,7,,,,,,,94933,2914,,,,,,,1946.26
699,31.77777106,"54,558.28",,56,409,4760448,263,"4,083.36",,6,658,1316,0,3,3,,143402,3693,304981,564,426,0,0,0,291.95
700,28.49592481,"117,444.10",,56,23959,403955,255,"67,214.28",313,9,6303,7089,0.6,153,3,3967,88289,458,41482,1827,8661,5,138,30,557.02
701,30.7803461,"88,297.81",,56,,,,,,,,,,,,,,,,,,,,,596.56
702,30.92469459,"99,419.62",,56,2628,3476048,132,"13,109.74",,7,273,273,0.5,6,3,137,127297,3118,250704,555,603,0,0,0,215.78
703,31.71898223,"56,237.65",,56,2736,3098015,262,"13,647.02",781,8,5908,5908,1,0,1,5908,,,269561,273,531,0,0,0,463.14
704,31.18318884,"126,408.54",,26,,,,,,,,,,,,,,,,,,,,,222.37
705,31.88147924,"62,796.07",,56,387,2869223,106,"3,868.44",,8,941,1157,0.5,140,5,593,8340,28,422398,153,231,2,13,1,306.62
706,32.05375485,"58,675.14",,56,42360,398421,219,"92,426.35",,6,18284,23133,0.7,91,2,15782,10764,914,23974,3707,17978,1,37,0,3027.28
707,32.79641054,"83,638.41",,56,14802,1043555,25,"46,139.30",,8,330,330,1,1,1,330,43003,523,28095,364,14642,0,0,0,466.28
708,31.39362343,"52,459.43",,56,2714,3050532,733,"13,539.56",491,6,480,480,1,1,1,480,127164,994,244627,687,629,0,0,0,200.21
709,33.2854723,"119,612.82",,56,5192,2985754,28,"21,041.40",,6,4842,9502,0.3,57,3,2432,45402,201,119337,253,2000,0,0,0,391.39
710,31.04624552,"72,466.14",,56,1034,3955677,105,"6,447.41",,9,707,801,0.8,1,1,605,75363,4088,289427,265,470,29,2179,0,312.94
711,32.1060902,"53,429.69",,56,1723,2048361,103,"10,745.68",,8,13496,13496,0,2,2,,64973,2801,235997,184,670,0,0,0,199.25
712,32.66691234,"53,565.59",,56,4998,1118237,192,"21,813.74",,8,21244,30999,0,101,6,857,12764,301,101420,348,2544,0,0,0,332.2
713,32.1514139,"56,374.11",,56,37749,482019,192,"105,898.76",220,6,10706,11558,0.1,172,5,1410,68489,1412,26824,4197,15547,0,0,0,319.88
714,32.9654499,"50,748.41",,56,,,,,,,,,,,,,,,,,,,,,231.32
715,33.55125373,"51,275.93",,56,409,2283394,217,"4,083.36",182,8,1316,1316,0.5,2,2,658,41333,2471,605688,311,110,0,0,0,162.83
716,30.55796147,"134,441.70",,14,13358,675391,107,"45,803.49",,11,6975,12730,0.4,216,3,4555,876449,324,53875,330,6134,0,0,0,184.84
717,33.09767137,"96,386.27",,56,6226,2664424,155,"25,232.22",,10,1996,2212,0.4,87,2,985,207436,1056,95141,1308,2793,3,48,2,210.77
718,33.79400388,"61,341.01",,56,387,5458565,177,"3,868.44",1000,9,13496,26992,0.5,2,2,13496,140364,1423,420689,86,233,0,0,0,603.72
719,30.32301822,"80,289.44",,56,9825,2368121,54,"33,687.73",,2,786,1763,0.3,824,5,595,16735,74,105040,1221,2418,0,0,0,610.46
720,33.33527927,"59,074.35",,56,,10885898,,50,221,6,,,,,,,58433,2653,,,,,,,273.63
721,33.07320826,"94,621.41",,56,797,4952700,229,"4,969.88",,2,1078,1078,0.7,3,4,719,256575,11669,356925,191,320,0,0,0,417.94
722,31.88281213,"60,300.34",,56,3598,2823938,124,"16,823.71",,2,,,,,,,25743,887,136354,345,1634,0,0,0,341.85
723,30.37185783,"92,065.26",,56,732,4098253,31,"4,566.91",,7,595,595,0,265,13,,109865,1767,324774,177,381,0,0,0,403.16
724,31.23245669,"53,636.14",,56,11915,2559693,316,"40,853.76",,1,3484,6912,0.2,277,9,1622,26841,651,36605,1465,10257,0,0,0,350.52
725,33.84551411,"114,688.48",,56,,,,,,,,,,,,,,,,,,,,,785.54
726,33.44271505,"91,540.89",,56,2262,1852720,279,"14,103.71",,1,421,512,0.5,156,7,256,135018,10734,168965,374,1167,0,0,0,304.66
727,29.48568026,"64,254.13",,56,11484,1013378,533,"39,376.23",,11,479,479,0.3,518,3,160,92775,358,64540,3406,4794,25,518,0,151.1
728,33.47304249,"61,754.30",,56,2003,2877502,11,"12,491.86",5081,9,627,627,0.5,2,2,314,105622,1160,206593,273,842,0,0,0,212.73
729,33.08765382,"98,969.12",,56,6507,2757950,125,"26,367.23",75,10,1783,1883,0.3,345,11,577,9872,112,104174,1105,2448,0,0,0,359.88
730,32.88719982,"106,364.21",,21,129,6092530,3,"1,289.48",,2,562,562,1,0,1,562,60815,2711,653410,58,92,0,0,0,2227.64
