ID,Tenure in Nuvemshop in months,Monthly Sales,Employee Count,Current plan id,Estimated Page Views,Rank - Domain,Product Count - Domain,Estimated Sales - Domain,Combined Followers,Number of technologies,Avg Total Users,Avg - Total Visits,Avg - Average Bounce Rate,Avg - Average Time On Site,Avg - Average Pages Per Visit,Avg - real visits,Followers,Posts,Semrush Rank,Organic Keywords,Organic Traffic,Adwords Keywords,Adwords Traffic,PLA keywords,Average ticket value
1229,7.267078106,"42,157.47",,55,11979,2734551,146,"41,075.39",,6,964,1381,0.7,17,3,906,128517,10640,,,,,,,367.66
1230,8.273205272,"35,847.48",,55,258,6140662,,"2,578.96",,2,1,1,0,8,8,,,,,,,,,,289.67
1231,8.721371714,"33,369.21",,55,366,4244757,124,"3,653.53",,6,835,1155,0.8,1,2,866,77711,703,,,,,,,155.41
1232,8.91776359,"35,690.49",,55,21,9034347,,500,,2,562,1124,0,321,3,,4641,170,,,,,,,374.41
1233,8.232393593,"22,896.45",,55,,13318475,,50,,1,,,,,,,,,,,,,,,536.34
1234,7.75552046,"20,978.44",,52,86,13050138,,859.65,,6,7559,7560,0.5,256,2,3924,,,,,,,,,623.64
1235,8.271268668,"20,764.02",,55,1228,2223270,4,"7,656.30",,6,1190,1190,0.5,31,3,595,9221,219,,,,,,,753.04
1236,8.711358274,"20,757.00",,55,21,10161276,,500,12,4,,,,,,,53219,3083,,,,,,,745.5
1237,7.269202136,"42,915.33",,55,1637,2112627,107,"10,208.40",937,8,,,,,,,151207,6075,,,,,,,151.97
1238,7.915364023,"40,622.30",,55,646,2302843,2,"4,029.63",1,6,563,563,1,0,1,563,9007,321,,,,,,,256.57
1239,9.856637918,"49,710.54",,55,1249,3720733,1,"7,790.62",1990,2,10282,10587,0.8,326,2,8419,,,,,,,,,212.64
1240,#N/A,"34,943.91",,#N/A,,,,,,,1392,1581,0.6,132,3,950,,,,,,,,,#N/A
1241,10.59844459,"20,514.92",,56,3081,1384427,106,"15,366.33",,7,6103,6298,0.6,80,1,3711,43040,617,,,,,,,124.94
1242,8.371465427,"24,398.16",,55,904,3776638,10,"5,641.48",44300,6,5726,5734,0,24,2,48,330701,5766,,,,,,,244
1243,9.098876568,"32,196.14",,55,1163,3421956,1,"7,253.33",,7,,,,,,,22466,2642,,,,,,,216.02
1244,10.8061869,"47,652.41",,55,129,5576268,,"1,289.48",,3,645,13017,0.3,558,4,4434,38527,202,,,,,,,108.92
