,N,Features,Model,R² Score,MAE,RMSE,MedAE
70,7,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Decision Tree,0.20418395879111284,160004.64983733275,683605.3025497184,59310.11
71,7,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Random Forest,0.37869974650500693,148922.97071931468,604017.9481589338,56365.676799999965
72,7,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Gradient Boosting,0.18627185785198463,153505.43728595573,691255.7331617106,60384.68125537029
73,7,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",AdaBoost,0.04611628636757259,176291.25527094374,748422.4308762467,95499.34674899481
74,7,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",K-Nearest Neighbors,0.3088153922284558,150564.96952527473,637083.1333344482,58212.648000000016
75,7,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Support Vector Regressor,0.08608900204357772,141396.43439289663,732573.2058309189,60385.3473329376
76,7,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",XGBRegressor,0.13736790869516657,156592.37347846464,711724.4468904664,59557.8021875
77,8,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Linear Regression,0.04810190650444368,165874.2965640008,747643.0608136696,69348.12561253148
78,8,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Ridge Regression,0.04819585855245856,165862.0481473252,747606.1638335496,69361.7709016612
79,8,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Lasso Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
80,8,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",ElasticNet Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
81,8,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Decision Tree,0.20179663233062417,166929.28865051953,684629.8904229406,62941.35999999999
82,8,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Random Forest,0.37118085063960804,149188.79418046866,607661.8306762115,50215.93189999998
83,8,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Gradient Boosting,0.27266324473697645,146928.31639324312,653531.9821727296,57485.28347385383
84,8,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",AdaBoost,-8.398953369743086,876218.2426563989,2349301.8776366077,131054.78674899472
85,8,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",K-Nearest Neighbors,0.3159577972018327,147621.69111648353,633782.9136485634,43372.745999999985
86,8,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Support Vector Regressor,0.0808838459620077,142960.1268594209,734656.419545215,61356.32012634295
87,8,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",XGBRegressor,0.136796555013862,152745.7795950056,711960.108811055,58039.517187499994
88,9,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Linear Regression,0.05045377567332765,165891.01521975602,746718.8830467502,69429.99742314198
89,9,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Ridge Regression,0.0505451203775894,165878.88874464532,746682.9656504916,69443.83975785911
90,9,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Lasso Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
91,9,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",ElasticNet Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
92,9,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Decision Tree,0.11711890332033659,173019.4928043657,720029.3298222505,58426.13
93,9,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Random Forest,0.3804478158219011,150105.97602276417,603167.6274248098,49060.29469999991
94,9,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Gradient Boosting,0.2213718663946852,149588.57638532753,676182.8073113452,58385.19062701978
95,9,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",AdaBoost,0.04611628636757259,176291.25527094374,748422.4308762467,95499.34674899487
96,9,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",K-Nearest Neighbors,0.31405662682273505,151802.74864615386,634663.044463942,52008.924
97,9,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",Support Vector Regressor,0.07963551759617848,142904.1009340778,735155.1493629671,61472.53381963881
98,9,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers', 'Posts']",XGBRegressor,0.12785954164929325,156135.6361123825,715636.1904738422,61604.178984375
99,10,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - Average Pages Per Visit', 'Avg - real visits', 'Followers', 'Posts']",Linear Regression,0.05046272380750916,165895.31044761394,746715.3646522099,69472.30518730445
100,10,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - Average Pages Per Visit', 'Avg - real visits', 'Followers', 'Posts']",Ridge Regression,0.05055402661979991,165883.37187510173,746679.4635594052,69442.74709471257
101,10,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - Average Pages Per Visit', 'Avg - real visits', 'Followers', 'Posts']",Lasso Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
102,10,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - Average Pages Per Visit', 'Avg - real visits', 'Followers', 'Posts']",ElasticNet Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
103,10,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - Average Pages Per Visit', 'Avg - real visits', 'Followers', 'Posts']",Decision Tree,0.2259772030244892,157072.7615516185,674180.1390051877,63425.860000000015
104,10,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - Average Pages Per Visit', 'Avg - real visits', 'Followers', 'Posts']",Random Forest,0.38416605975187024,152039.06588677817,601354.9476449097,52858.558300000004
105,10,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - Average Pages Per Visit', 'Avg - real visits', 'Followers', 'Posts']",Gradient Boosting,0.2689911985271489,148336.58835851608,655179.622226756,59543.79367918842
106,10,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - Average Pages Per Visit', 'Avg - real visits', 'Followers', 'Posts']",AdaBoost,0.04611628636757259,176291.25527094374,748422.4308762467,95499.34674899484
107,10,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - Average Pages Per Visit', 'Avg - real visits', 'Followers', 'Posts']",K-Nearest Neighbors,0.3190745846256371,152726.76415384616,632337.3727884152,56312.40000000002
108,10,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - Average Pages Per Visit', 'Avg - real visits', 'Followers', 'Posts']",Support Vector Regressor,0.07480465442191342,144376.53587094444,737081.9870196568,64032.85203449729
109,10,"['Rank - Domain', 'Product Count - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - Average Pages Per Visit', 'Avg - real visits', 'Followers', 'Posts']",XGBRegressor,0.10127492165127339,155966.08582870985,726461.3418905608,56725.0571875
